data_date,marketing,plan
20180307,1,0
20180308,0,0
20180309,0,0
20180310,0,0
20180311,0,0
20180312,0,0
20180313,0,0
20180314,0,0
20180315,0,0
20180316,0,0
20180501,5,1
20180502,5,1
20180503,5,1
20180504,5,1
20180505,5,1
20180506,5,1
20180507,5,1
20180508,5,1
20180509,5,1
20180510,5,1
20180511,5,1
20180512,5,1
20180513,5,1
20180514,5,1
20180515,5,1
20180516,5,1
20180517,5,1
20180518,5,1
20180519,5,1
20180520,5,1
20180521,5,1
20180522,5,1
20180523,5,2
20180524,5,2
20180525,5,2
20180526,5,2
20180527,5,2
20180528,5,2
20180529,5,2
20180530,5,2
20180531,5,3
20180601,5,3
20180602,5,3
20180603,5,3
20180604,5,3
